compliance_id,sap_component,resource_category,complexity,type_of_check,resource_name,command,pattern_string,expected_string,check_description,recommendation,set_by,sap_lens_category,sap_lens_topic,sap_lens_bp,sap_lens_bp_suggestion
36,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""icm/HTTP/ASJava/disable_url_session_tracking""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",icm/HTTP/ASJava/disable_url_session_tracking,TRUE,Disable URL Session Tracking (AS Java),Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
37,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""service/protectedwebmethods""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",service/protectedwebmethods,SDEFAULT,Protected Web Methods Service,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
38,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""rsec/ssfs_datapath""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",rsec/ssfs_datapath,$(DIR_GLOBAL)$(DIR_SEP)security$(DIR_SEP)rsecssfs$(DIR_SEP)data,Secure Store and Forward (SSF) Data Path,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
39,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""rsec/ssfs_keypath""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",rsec/ssfs_keypath,$(DIR_GLOBAL)$(DIR_SEP)security$(DIR_SEP)rsecssfs$(DIR_SEP)key,Secure Store and Forward (SSF) Key Path,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
40,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""gw/sec_info""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",gw/sec_info,$(DIR_GLOBAL)$(DIR_SEP)secinfo$(FT_DAT),Gateway Security Information,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
41,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/system_client""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/system_client,100,System Client for Logon,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
42,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""enq/replicatorinst""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",enq/replicatorinst,30,Enqueue Replicator Instance,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
43,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""rsdb/ssfs_connect""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",rsdb/ssfs_connect,1,Secure Store and Forward (SSF) Connection Parameters,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
44,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""dbs/hdb/schema""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",dbs/hdb/schema,SAPHANADB,SAP HANA Database Schema,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
45,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""gw/acl_mode""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",gw/acl_mode,1,Gateway Access Control List (ACL) Mode,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
46,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""vmcj/enable""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",vmcj/enable,0ff,Virtual Machine Containerization (VMC) Enablement,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
47,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""FN_AUDIT""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",FN_AUDIT,++++++++######.AUD,Audit Log Functionality,Launch Wizard provided this information; the recommendation needs to be updated. ,AWS,Security,,,
48,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""auth/check/calltransaction""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",auth/check/calltransaction,3,Authorization Check for Call Transaction,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
49,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""auth/object_disabling_active""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",auth/object_disabling_active,N,Object Disabling Activation,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
50,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""auth/rfc_authority_check""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",auth/rfc_authority_check,6,RFC Authority Check,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
51,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""gw/acl_mode_proxy""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",gw/acl_mode_proxy,1,Gateway ACL Mode (Proxy),2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
52,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""gw/reg_no_conn_info""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",gw/reg_no_conn_info,255,Gateway Registration No Connection Info,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
53,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""gw/rem_start""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",gw/rem_start,DISABLED,Gateway Remote Start,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
54,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""icf/reject_expired_passwd""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",icf/reject_expired_passwd,1,ICF Reject Expired Passwords,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
55,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""icf/set_HTTPonly_flag_on_cookies""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",icf/set_HTTPonly_flag_on_cookies,0,ICF Set HTTPonly Flag on Cookies,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
56,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/disable_cpic""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/disable_cpic,1,Disable CPIC Logon,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
57,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/password_compliance_to_current_policy""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/password_compliance_to_current_policy,1,Password Compliance with Current Policy,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
58,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/password_downwards_compatibility""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/password_downwards_compatibility,0,Password Downwards Compatibility,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
59,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/password_hash_algorithm""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/password_hash_algorithm,encoding=RFC2307- algorithm=iSSHA-512- iterations=15000- saltsize=256,Password Hash Algorithm,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
60,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/password_max_idle_initial""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/password_max_idle_initial,7,Initial Maximum Idle Time for Password,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
61,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/password_max_idle_productive""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/password_max_idle_productive,180,Productive Maximum Idle Time for Password,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
62,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/show_detailed_errors""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/show_detailed_errors,0,Show Detailed Errors on Logon,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
63,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""login/ticket_only_by_https""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",login/ticket_only_by_https,1,Ticket Only by HTTPS,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
64,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""rec/client""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",rec/client,ALL,Recommended Client,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
65,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""rfc/callback_security_method""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",rfc/callback_security_method,3,RFC Callback Security Method,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
66,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""rfc/reject_expired_passwd""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",rfc/reject_expired_passwd,1,RFC Reject Expired Passwords,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
67,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""system/secure_communication""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",system/secure_communication,ON,Secure Communication System-wide,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
68,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""ssl/ciphersuites""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",ssl/ciphersuites,545:PFS:HIGH::EC_X25519:EC_P256:EC_HIGH,SSL Cipher Suites,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
69,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""ssl/client_ciphersuites""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",ssl/client_ciphersuites,150:PFS:HIGH::EC_X25519:EC_P256:EC_HIGH,SSL Client Cipher Suites,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
70,pas,SAP PAS Security,high,command,DEFAULT_Profile,"var1=""ssl/client_sni_enabled""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",ssl/client_sni_enabled,TRUE,SSL Client Server Name Indication (SNI) Enabled,2926224 - Collection Note: New security settings for SAP S/4HANA and SAP BW/4HANA using SL Toolset and SUM - check attachment,AWS,Security,,,
71,general,Instance Status,high,API,InstanceAutoRecovery,API CALL,AutoRecovery,default,Status of EC2 instance Auto Recover?,,AWS,Operational Excellence ,,,
72,general,Instance Status,high,API,StopProtection,API CALL,DisableApiStop ,TRUE,Check instance is enabled for stop protection?,,AWS,Operational Excellence,,,
73,general,Instance Status,high,API,InstanceType,API CALL,InstanceType, r6i.4xlarge; r6i.8xlarge; r6i.12xlarge; r6i.16xlarge; r6i.24xlarge; r6i.32xlarge,Check instance is SAP HANA Certified?,,AWS,Operational Excellence,,,
74,general,Instance Status,high,API,InstanceInitiatedShutdownBehavior,API CALL,InstanceInitiatedShutdownBehavior,stop,What is the instance initiated shutdown behavior?,,AWS,Operational Excellence,,,
75,general,Instance Status,high,API,DisableApiTermination,API CALL,DisableApiTermination ,TRUE,Is the Termination Protection enabled ?,,AWS,Performance Efficiency,,,
76,general,Instance Status,low,API,IMDSv2_Compatibility,API CALL,HttpTokens,required,Is IMDSv2 Enabled for EC2 Instance ?,,AWS,Operational Excellence,,,
77,ascs,SAP ABAP Cluster,high,command,ERS_Profile,"var1=""Start_Program_00""; sudo su - $sidadm -c ""sapcontrol -nr  $sap_instance_no -function ParameterValue $var1"" | grep -v '^$' | tail -n 1 | awk '{print $1}'",Start_Program_00,local,Is automatic restart prevented for ERS Instance ?,https://access.redhat.com/articles/3150081#ascs-profile-modification,AWS,Operational Excellence,,,
78,ascs,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep sapascs: | awk -F "":"" '{print $2}'",sapascs,online,Status of ASCS Node,,AWS,Operational Excellence ,,,
79,ascs,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep sapers: | awk -F "":"" '{print $2}'",sapers,online,Status of ERS Node,,AWS,Operational Excellence ,,,
80,ascs,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep ""${sid}_ERS"" | awk -F "" "" '{print $4}'",ocf::heartbeat:SAPInstance,Started,Heart Beat of ERS instance?,,AWS,Operational Excellence ,,,
81,ascs,SAP ABAP Cluster,high,command,Cluster_Status,"crm_mon --group-by-node -1 | grep ""${sid}_ASCS"" | awk -F "" "" '{print $4}'",ocf::heartbeat:SAPInstance,Started,Heart Beat of ASCS instance?,,AWS,Operational Excellence ,,,
82,ascs,SAP ABAP Cluster,low,command,Cluster_Configuration_ASCS,"pcs resource config | grep ""${sid}_ASCS${sap_instance_no}-demote-interval-0s"" | awk -F "" "" '{print $4}' | awk -F ""="" '{print $2}'",demote,320s,What is ASCS demote timeout ?,,AWS,Reliability,,,
83,ascs,SAP ABAP Cluster,high,command,Cluster_Configuration_ASCS,"pcs resource config | grep ""${sid}_ASCS${sap_instance_no}-promote-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",promote,320s,What is ASCS promote timeout ?,,AWS,Reliability,,,
84,ascs,SAP ABAP Cluster,high,command,Cluster_Configuration_ASCS,"pcs resource config | grep ""${sid}_ASCS${sap_instance_no}-reload-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",reload,320s,What is ASCS reload timeout ?,,AWS,Reliability,,,
85,ascs,SAP ABAP Cluster,high,command,Cluster_Configuration_ASCS,"pcs resource config | grep ""${sid}_ASCS${sap_instance_no}-start-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",start,180s,What is ASCS start timeout ?,,AWS,Reliability,,,
86,ascs,SAP ABAP Cluster,low,command,Cluster_Configuration_ASCS,"pcs resource config | grep ""${sid}_ASCS${sap_instance_no}-stop-interval"" | awk -F "" "" '{print $3}' | awk -F ""="" '{print $2}'",stop,180s,What is ASCS stop timeout ?,,AWS,Reliability,,,
